,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,year,day,date,tx,tm,tn,rad,et0,hourmin_tx,hourmin_tn,station,lat_in_rad,long_in_rad,alt_in_rad,hourmin_ocaso,hourmin_orto,hourmin_ocaso-hourmin_tx,hourmin_orto-hourmin_tn,energyt,n_val_temp,ra,vpd,deltat,ea,es,energyt_prev,hourmin_tn_prev,hourmin_tx_prev,tx_prev,tn_prev,season,preci,tdew
547716,552374,552374,552374,552374,2017,1,2017-01-01,11.71,5.898,1.164,10.17,0.7857939572510857,14.5,23.93333333333333,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,16.966666666666665,7.45,2.466666666666665,-16.483333333333334,141.5515,48.0,15.63438540134572,0.4021162403296637,10.546,0.6181287510122091,1.0202449913418727,141.5515,23.93333333333333,14.5,11.71,1.164,winter,0.0,0.16399999999999992
547757,552415,552415,552415,552415,2017,2,2017-01-02,12.9,5.422999999999999,-0.4970000000000001,9.95,0.8110145758167787,14.433333333333335,4.833333333333333,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,16.966666666666665,7.45,2.5333333333333314,2.6166666666666667,130.14700000000002,48.0,15.689461428447936,0.4911563168523218,13.397,0.5473730909407916,1.038529407793113,130.14700000000002,4.833333333333333,14.433333333333335,12.9,-0.4970000000000001,winter,0.0,-1.497
547865,552523,552523,552523,552523,2017,3,2017-01-03,16.74,7.8,1.298,10.25,1.0678180637717587,14.7,5.033333333333333,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,16.983333333333334,7.45,2.283333333333335,2.416666666666667,187.2675,48.0,15.74893904079463,0.6643248347450771,15.441999999999998,0.6241744776200485,1.2884993123651256,187.2675,5.033333333333333,14.7,16.74,1.298,winter,0.2,0.29800000000000004
547925,552583,552583,552583,552583,2017,4,2017-01-04,19.39,10.01,4.488,8.49,1.2753429119020288,14.466666666666669,5.7333333333333325,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.0,7.45,2.533333333333333,1.7166666666666668,240.1935,48.0,15.81280281287308,0.7621104008317128,14.902,0.7844154971995603,1.5465258980312733,240.1935,5.7333333333333325,14.466666666666669,19.39,4.488,winter,0.0,3.4880000000000004
548093,552751,552751,552751,552751,2017,5,2017-01-05,17.8,9.6,3.621,11.73,1.367652071962682,14.233333333333333,5.0,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.016666666666666,7.45,2.783333333333333,2.45,230.4825,48.0,15.881035942885392,0.6773741851700021,14.179,0.737624189961353,1.4149983751313548,230.4825,5.0,14.233333333333333,17.8,3.621,winter,0.0,2.621
548107,552765,552765,552765,552765,2017,6,2017-01-06,13.22,8.16,3.818,9.65,0.919769550074457,13.2,3.2666666666666666,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.033333333333335,7.45,3.8333333333333366,4.183333333333334,195.93,48.0,15.95362022980407,0.4131479049811057,9.402,0.7480340558897989,1.1611819608709046,195.93,3.2666666666666666,13.2,13.22,3.818,winter,0.2,2.818
548270,552928,552928,552928,552928,2017,7,2017-01-07,12.57,6.1560000000000015,0.966,11.54,0.9214088899445936,13.366666666666667,7.0,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.033333333333335,7.45,3.666666666666668,0.4500000000000002,147.734,48.0,16.03053604976828,0.4463386442255872,11.604,0.6092902762242509,1.055628920449838,147.734,7.0,13.366666666666667,12.57,0.966,winter,0.0,-0.03400000000000003
548369,553027,553027,553027,553027,2017,8,2017-01-08,14.35,5.97,0.633,11.84,1.0495966791480318,15.7,1.3,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.05,7.45,1.3500000000000014,6.15,143.2865,48.0,16.111762331979048,0.5427205183769518,13.717,0.5946773652312897,1.1373978836082417,143.2865,1.3,15.7,14.35,0.633,winter,0.2,-0.367
548414,553072,553072,553072,553072,2017,9,2017-01-09,13.22,5.609,-0.354,11.93,1.2714840429916427,14.0,4.3,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.066666666666666,7.45,3.0666666666666664,3.1500000000000004,134.619,48.0,16.197276534256613,0.5041827647172801,13.574000000000002,0.5531692046210589,1.057351969338339,134.619,4.3,14.0,13.22,-0.354,winter,0.2,-1.354
548556,553214,553214,553214,553214,2017,10,2017-01-10,15.83,7.59,-1.022,4.062,1.2945369540802862,14.966666666666669,5.0,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.083333333333332,7.45,2.1166666666666654,2.45,182.0675,48.0,16.287054618426936,0.6561844120777148,16.852,0.5265517732938102,1.1827361853715248,182.0675,5.0,14.966666666666669,15.83,-1.022,winter,0.0,-2.0220000000000002
548577,553235,553235,553235,553235,2017,11,2017-01-11,16.13,10.32,3.22,9.06,1.6754261816300569,13.166666666666664,22.7,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.1,7.45,3.9333333333333353,-15.25,247.673,48.0,16.381071025707122,0.5847309006256747,12.909999999999998,0.7168289212802794,1.301559821905954,247.673,22.7,13.166666666666664,16.13,3.22,winter,0.0,2.22
548732,553391,553391,553391,553391,2017,12,2017-01-12,16.34,9.18,4.142,11.96,1.3466474442402463,14.066666666666665,7.4,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.116666666666667,7.45,3.0500000000000007,0.0499999999999998,220.268,48.0,16.47929865226169,0.5743515641486909,12.198,0.7654370929707253,1.3397886571194162,220.268,7.4,14.066666666666665,16.34,4.142,winter,0.0,3.1420000000000003
548796,553455,553455,553455,553455,2017,13,2017-01-13,20.64,9.61,3.091,12.38,2.2460206177085804,13.166666666666664,4.533333333333333,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.133333333333333,7.45,3.966666666666667,2.916666666666667,230.625,48.0,16.581708825102282,0.8873566062977771,17.549,0.7102501445532019,1.597606750850979,230.625,4.533333333333333,13.166666666666664,20.64,3.091,winter,0.2,2.091
548880,553539,553539,553539,553539,2017,14,2017-01-14,12.17,7.64,-0.034,12.14,1.634817323940391,12.5,23.66666666666667,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.15,7.45,4.649999999999999,-16.21666666666667,183.4725,48.0,16.688271278503993,0.4474903699249927,12.204,0.5663366814788903,1.013827051403883,183.4725,23.66666666666667,12.5,12.17,-0.034,winter,0.0,-1.034
548999,553658,553658,553658,553658,2017,15,2017-01-15,12.77,5.2620000000000005,-1.754,12.63,1.4221315563577706,12.6,7.2666666666666675,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.166666666666668,7.433333333333334,4.566666666666668,0.1666666666666669,126.292,48.0,16.798954131110207,0.5075463992681761,14.524,0.4986917227182197,1.0062381219863958,126.292,7.2666666666666675,12.6,12.77,-1.754,winter,0.0,-2.754
549092,553752,553752,553752,553752,2017,16,2017-01-16,16.01,7.38,-0.555,12.68,1.6997928535959597,13.9,4.1,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.183333333333334,7.433333333333334,3.283333333333333,3.333333333333334,177.0215,48.0,16.9137238638967,0.6579691558530892,16.565,0.5450375820220975,1.2030067378751867,177.0215,4.1,13.9,16.01,-0.555,winter,0.0,-1.5550000000000002
549160,553820,553820,553820,553820,2017,17,2017-01-17,15.34,9.07,3.618,12.99,2.25108174544942,14.133333333333333,3.633333333333333,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.2,7.433333333333334,3.0666666666666664,3.8,217.761,48.0,17.032545299162845,0.5298774456439098,11.722,0.7374666578817163,1.267344103525626,217.761,3.633333333333333,14.133333333333333,15.34,3.618,winter,0.0,2.618
549244,553905,553905,553905,553905,2017,18,2017-01-18,5.274,1.863,-3.946,8.07,1.6482966055356587,12.333333333333336,6.433333333333334,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.216666666666665,7.416666666666668,4.883333333333331,0.9833333333333334,44.719,48.0,17.15538158071485,0.2497166376727792,9.22,0.4229068629344488,0.672623500607228,44.719,6.433333333333334,12.333333333333336,5.274,-3.946,winter,1.0,-4.946
