,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,year,day,date,tx,tm,tn,rad,et0,hourmin_tx,hourmin_tn,station,lat_in_rad,long_in_rad,alt_in_rad,hourmin_ocaso,hourmin_orto,hourmin_ocaso-hourmin_tx,hourmin_orto-hourmin_tn,energyt,n_val_temp,ra,vpd,deltat,ea,es,energyt_prev,hourmin_tn_prev,hourmin_tx_prev,tx_prev,tn_prev,season,preci,tdew
547719,552377,552377,552377,552377,2017,1,2017-01-01,17.17,10.83,4.959,9.86,1.1243572340551888,13.566666666666665,6.666666666666668,RIAG/CAD05ZZZ,0.6341265986176509,0.1070323163785522,22.0,17.25,7.666666666666668,3.6833333333333336,1.0,259.8095,48.0,16.10355777877694,0.6033434392308944,12.211000000000002,0.8109172097705383,1.414260649001433,259.8095,6.666666666666668,13.566666666666665,17.17,4.959,winter,0.0,3.9589999999999996
547756,552414,552414,552414,552414,2017,2,2017-01-02,18.18,13.09,9.46,9.78,2.1368631041068094,13.766666666666667,3.4,RIAG/CAD05ZZZ,0.6341265986176509,0.1070323163785522,22.0,17.266666666666666,7.666666666666668,3.4999999999999982,4.266666666666668,314.09,48.0,16.158440690446998,0.5290016185346379,8.719999999999999,1.1068451994810282,1.6358468180156662,314.09,3.4,13.766666666666667,18.18,9.46,winter,0.0,8.46
547873,552531,552531,552531,552531,2017,3,2017-01-03,19.86,12.21,6.364,7.41,1.272050481193794,13.766666666666667,23.93333333333333,RIAG/CAD05ZZZ,0.6341265986176509,0.1070323163785522,22.0,17.266666666666666,7.683333333333334,3.4999999999999982,-16.25,292.959,48.0,16.217701718785055,0.743790395313884,13.496,0.8947252433342192,1.6385156386481028,292.959,23.93333333333333,13.766666666666667,19.86,6.364,winter,0.0,5.364
547996,552654,552654,552654,552654,2017,4,2017-01-04,18.25,10.14,3.739,9.27,0.7943315760207798,14.533333333333331,6.4,RIAG/CAD05ZZZ,0.6341265986176509,0.1070323163785522,22.0,17.283333333333335,7.683333333333334,2.7500000000000018,1.2833333333333332,243.359,48.0,16.28132463441228,0.7037055183667495,14.511,0.7438440672175409,1.4475495855842906,243.359,6.4,14.533333333333331,18.25,3.739,winter,0.0,2.739
548031,552689,552689,552689,552689,2017,5,2017-01-05,17.85,11.19,5.9510000000000005,9.84,1.1071591405211882,13.2,5.3,RIAG/CAD05ZZZ,0.6341265986176509,0.1070323163785522,22.0,17.3,7.683333333333334,4.100000000000001,2.3833333333333337,268.5785,48.0,16.34929178155796,0.6189406251735787,11.899,0.8693317866902006,1.4882724118637791,268.5785,5.3,13.2,17.85,5.9510000000000005,winter,0.2,4.9510000000000005
548144,552802,552802,552802,552802,2017,6,2017-01-06,18.18,12.27,5.218999999999999,10.09,1.2766851166797129,13.4,5.566666666666666,RIAG/CAD05ZZZ,0.6341265986176509,0.1070323163785522,22.0,17.316666666666666,7.683333333333334,3.916666666666666,2.1166666666666667,294.408,48.0,16.421584057301345,0.6607182901056371,12.961000000000002,0.825882392075353,1.4866006821809898,294.408,5.566666666666666,13.4,18.18,5.218999999999999,winter,0.2,4.218999999999999
548288,552946,552946,552946,552946,2017,7,2017-01-07,17.85,13.24,9.52,10.36,1.4627056077827958,12.433333333333335,23.9,RIAG/CAD05ZZZ,0.6341265986176509,0.1070323163785522,22.0,17.333333333333332,7.683333333333334,4.899999999999999,-16.216666666666665,317.86,48.0,16.49818089026951,0.5054516862939231,8.330000000000002,1.1113594320109808,1.616811118304904,317.86,23.9,12.433333333333335,17.85,9.52,winter,0.0,8.52
548383,553041,553041,553041,553041,2017,8,2017-01-08,17.37,11.26,4.482,9.33,0.9559269558012428,13.2,24.0,RIAG/CAD05ZZZ,0.6341265986176509,0.1070323163785522,22.0,17.35,7.683333333333334,4.150000000000002,-16.316666666666666,270.183,48.0,16.579060218941528,0.6283678113187103,12.888000000000002,0.7840828862497224,1.4124506975684328,270.183,24.0,13.2,17.37,4.482,winter,0.0,3.482
548429,553087,553087,553087,553087,2017,9,2017-01-09,17.04,7.46,1.4580000000000002,10.58,0.982664956204915,15.333333333333336,7.666666666666668,RIAG/CAD05ZZZ,0.6341265986176509,0.1070323163785522,22.0,17.35,7.683333333333334,2.0166666666666675,0.0166666666666666,178.9835,48.0,16.66419846971435,0.6792291116371724,15.582,0.6314616842137432,1.3106907958509155,178.9835,7.666666666666668,15.333333333333336,17.04,1.4580000000000002,winter,0.2,0.4580000000000002
548508,553166,553166,553166,553166,2017,10,2017-01-10,14.42,8.52,1.3230000000000002,8.33,0.8150740466110604,15.333333333333336,6.633333333333333,RIAG/CAD05ZZZ,0.6341265986176509,0.1070323163785522,22.0,17.366666666666667,7.683333333333334,2.033333333333333,1.0500000000000007,204.518,48.0,16.75357053488895,0.5321297652114211,13.097,0.6253081797093009,1.157437944920722,204.518,6.633333333333333,15.333333333333336,14.42,1.3230000000000002,winter,0.2,0.3230000000000002
