,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,year,day,date,tx,tm,tn,rad,et0,hourmin_tx,hourmin_tn,station,lat_in_rad,long_in_rad,alt_in_rad,hourmin_ocaso,hourmin_orto,hourmin_ocaso-hourmin_tx,hourmin_orto-hourmin_tn,energyt,n_val_temp,ra,vpd,deltat,ea,es,energyt_prev,hourmin_tn_prev,hourmin_tx_prev,tx_prev,tn_prev,season,preci,tdew
547691,552349,552349,552349,552349,2017,1,2017-01-01,13.04,6.252999999999999,2.356,10.44,1.0021070438661992,15.1,7.2666666666666675,RIAG/COR06ZZZ,0.6607283253001311,0.0838242854638387,94.0,17.083333333333332,7.65,1.9833333333333325,0.3833333333333337,150.065,48.0,15.160170444637709,0.4389847625670008,10.684,0.6737738856163394,1.1127586481833402,150.065,7.2666666666666675,15.1,13.04,2.356,winter,0.0,1.3559999999999999
547779,552437,552437,552437,552437,2017,2,2017-01-02,14.98,7.68,3.701,9.72,1.2083498922556537,15.333333333333336,3.1666666666666665,RIAG/COR06ZZZ,0.6607283253001311,0.0838242854638387,94.0,17.1,7.65,1.7666666666666675,4.483333333333333,184.3485,48.0,15.215412975228064,0.5078918770732216,11.279000000000002,0.7418360203047559,1.2497278973779775,184.3485,3.1666666666666665,15.333333333333336,14.98,3.701,winter,0.2,2.701
547888,552546,552546,552546,552546,2017,3,2017-01-03,15.19,9.32,5.72,7.08,1.1742500145803432,14.866666666666667,6.5,RIAG/COR06ZZZ,0.6607283253001311,0.0838242854638387,94.0,17.116666666666667,7.666666666666668,2.25,1.166666666666667,223.6495,48.0,15.27507856193838,0.4663200193872677,9.47,0.8554076180316992,1.3217276374189668,223.6495,6.5,14.866666666666667,15.19,5.72,winter,0.0,4.72
547959,552617,552617,552617,552617,2017,4,2017-01-04,18.08,10.51,4.714,8.34,0.7114654001717959,15.066666666666665,3.066666666666667,RIAG/COR06ZZZ,0.6607283253001311,0.0838242854638387,94.0,17.133333333333333,7.666666666666668,2.0666666666666664,4.6,252.18,48.0,15.339152625088904,0.6676865265201635,13.365999999999998,0.7970348696238838,1.4647213961440468,252.18,3.066666666666667,15.066666666666665,18.08,4.714,winter,0.0,3.7140000000000004
548084,552742,552742,552742,552742,2017,5,2017-01-05,17.61,9.63,3.634,10.68,0.9015401240374672,16.4,7.9,RIAG/COR06ZZZ,0.6607283253001311,0.0838242854638387,94.0,17.15,7.666666666666668,0.75,-0.2333333333333334,231.0495,48.0,15.407619261594911,0.6649247539603372,13.976,0.7383071723505089,1.403231926310846,231.0495,7.9,16.4,17.61,3.634,winter,0.0,2.634
548152,552810,552810,552810,552810,2017,6,2017-01-06,17.33,8.92,4.512,10.73,1.2231710955117177,16.366666666666667,7.466666666666668,RIAG/COR06ZZZ,0.6607283253001311,0.0838242854638387,94.0,17.15,7.666666666666668,0.7833333333333314,0.2,213.999,48.0,15.480461219733286,0.6250849101492922,12.817999999999998,0.7857471864845841,1.4108320966338763,213.999,7.466666666666668,16.366666666666667,17.33,4.512,winter,0.2,3.5119999999999996
548200,552858,552858,552858,552858,2017,7,2017-01-07,15.65,7.93,3.032,10.27,0.8669470945742761,14.433333333333335,3.333333333333333,RIAG/COR06ZZZ,0.6607283253001311,0.0838242854638387,94.0,17.166666666666668,7.666666666666668,2.7333333333333343,4.333333333333334,190.3705,48.0,15.557659873129849,0.5615022721710125,12.618,0.7072590596159821,1.2687613317869946,190.3705,3.333333333333333,14.433333333333335,15.65,3.032,winter,0.0,2.032
548319,552977,552977,552977,552977,2017,8,2017-01-08,15.05,6.812,1.548,11.24,0.985792013930464,16.5,23.93333333333333,RIAG/COR06ZZZ,0.6607283253001311,0.0838242854638387,94.0,17.183333333333334,7.666666666666668,0.6833333333333336,-16.266666666666666,163.4845,48.0,15.639195194133949,0.5613975691984371,13.502,0.6355937003236902,1.1969912695221272,163.4845,23.93333333333333,16.5,15.05,1.548,winter,0.2,0.548
548459,553117,553117,553117,553117,2017,9,2017-01-09,17.26,6.356,-0.405,11.51,0.8876444292237752,14.966666666666669,7.666666666666668,RIAG/COR06ZZZ,0.6607283253001311,0.0838242854638387,94.0,17.2,7.65,2.2333333333333325,-0.0166666666666666,152.556,48.0,15.725045726752231,0.7303630369670929,17.665000000000006,0.5510958589071128,1.2814588958742057,152.556,7.666666666666668,14.966666666666669,17.26,-0.405,winter,0.2,-1.405
548503,553161,553161,553161,553161,2017,10,2017-01-10,12.83,5.994,0.0,8.64,0.6781110687180341,15.4,4.1,RIAG/COR06ZZZ,0.6607283253001311,0.0838242854638387,94.0,17.216666666666665,7.65,1.8166666666666649,3.5500000000000007,143.8555,48.0,15.815188559317187,0.4782462497031401,12.83,0.5677518911762054,1.0459981408793455,143.8555,4.1,15.4,12.83,0.0,winter,0.2,-1.0
