,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,year,day,date,tx,tm,tn,rad,et0,hourmin_tx,hourmin_tn,station,lat_in_rad,long_in_rad,alt_in_rad,hourmin_ocaso,hourmin_orto,hourmin_ocaso-hourmin_tx,hourmin_orto-hourmin_tn,energyt,n_val_temp,ra,vpd,deltat,ea,es,energyt_prev,hourmin_tn_prev,hourmin_tx_prev,tx_prev,tn_prev,season,preci,tdew
547662,552320,552320,552320,552320,2017,1,2017-01-01,14.47,6.0829999999999975,-1.1,7.67,0.5986213690550175,14.9,6.8,RIAG/HUE06ZZZ,0.66249304709937,0.1212131165510062,293.0,17.233333333333334,7.8,2.333333333333334,1.0,145.986,48.0,15.097539564184954,0.5822903020066205,15.57,0.5235189062624891,1.1058092082691096,145.986,6.8,14.9,14.47,-1.1,winter,0.0,-2.1
547748,552406,552406,552406,552406,2017,2,2017-01-02,15.21,11.34,5.787999999999999,10.22,1.485430570862799,13.266666666666667,24.0,RIAG/HUE06ZZZ,0.66249304709937,0.1212131165510062,293.0,17.233333333333334,7.8,3.966666666666667,-16.2,272.1,48.0,15.152801896640565,0.4655203872906985,9.422000000000002,0.8594859335533677,1.325006320844066,272.1,24.0,13.266666666666667,15.21,5.787999999999999,winter,0.0,4.787999999999999
547878,552536,552536,552536,552536,2017,3,2017-01-03,15.48,11.8,8.33,7.17,0.973510130107014,14.233333333333333,23.33333333333333,RIAG/HUE06ZZZ,0.66249304709937,0.1212131165510062,293.0,17.25,7.8,3.0166666666666675,-15.533333333333331,283.165,48.0,15.212489949473126,0.4031544170217492,7.15,1.0247882299371598,1.427942646958909,283.165,23.33333333333333,14.233333333333333,15.48,8.33,winter,2.5,7.33
547940,552598,552598,552598,552598,2017,4,2017-01-04,17.81,10.48,5.249,8.82,0.6803935030824995,14.266666666666667,6.533333333333332,RIAG/HUE06ZZZ,0.66249304709937,0.1212131165510062,293.0,17.266666666666666,7.8,2.9999999999999982,1.2666666666666666,251.55900000000003,48.0,15.276589257301312,0.6359001767824118,12.561,0.8276247232065844,1.4635248999889965,251.55900000000003,6.533333333333332,14.266666666666667,17.81,5.249,winter,0.1,4.249
548057,552715,552715,552715,552715,2017,5,2017-01-05,17.48,8.4,1.978,10.28,0.6538399409119668,13.666666666666664,7.133333333333334,RIAG/HUE06ZZZ,0.66249304709937,0.1212131165510062,293.0,17.283333333333335,7.8,3.616666666666669,0.6666666666666661,201.5755,48.0,15.345084038495646,0.6953300822649304,15.502,0.6556672470543654,1.3509973293192958,201.5755,7.133333333333334,13.666666666666664,17.48,1.978,winter,0.1,0.978
548187,552845,552845,552845,552845,2017,6,2017-01-06,17.68,7.38,0.302,9.89,0.7376958467818538,14.133333333333333,6.333333333333332,RIAG/HUE06ZZZ,0.66249304709937,0.1212131165510062,293.0,17.3,7.8,3.166666666666668,1.4666666666666668,177.03,48.0,15.417957169636429,0.7431299590606559,17.378,0.5804602447186801,1.323590203779336,177.03,6.333333333333332,14.133333333333333,17.68,0.302,winter,0.1,-0.698
548207,552865,552865,552865,552865,2017,7,2017-01-07,16.74,7.37,0.7709999999999999,10.63,0.7153727153766324,13.233333333333333,6.333333333333332,RIAG/HUE06ZZZ,0.66249304709937,0.1212131165510062,293.0,17.316666666666666,7.8,4.083333333333334,1.4666666666666668,176.9835,48.0,15.49519015917642,0.6752880992431429,15.968999999999998,0.6006951239280489,1.2759832231711918,176.9835,6.333333333333332,13.233333333333333,16.74,0.7709999999999999,winter,0.1,-0.2290000000000001
548305,552963,552963,552963,552963,2017,8,2017-01-08,16.61,6.42,-0.161,10.6,0.7144413667346832,15.133333333333333,5.466666666666668,RIAG/HUE06ZZZ,0.66249304709937,0.1212131165510062,293.0,17.316666666666666,7.8,2.1833333333333336,2.333333333333333,154.077,48.0,15.576763120475723,0.6859387738415674,16.771,0.5610780178027377,1.2470167916443051,154.077,5.466666666666668,15.133333333333333,16.61,-0.161,winter,0.1,-1.161
548411,553069,553069,553069,553069,2017,9,2017-01-09,17.48,5.4460000000000015,-2.636,11.28,1.0182290590714076,13.8,7.466666666666668,RIAG/HUE06ZZZ,0.66249304709937,0.1212131165510062,293.0,17.333333333333332,7.8,3.5333333333333314,0.333333333333333,130.7235,48.0,15.662654744382095,0.7834156687974981,20.116,0.4668623528251138,1.250278021622612,130.7235,7.466666666666668,13.8,17.48,-2.636,winter,0.2,-3.636
548502,553160,553160,553160,553160,2017,10,2017-01-10,13.21,5.9060000000000015,-1.435,7.98,0.6847756181441916,15.566666666666665,8.066666666666666,RIAG/HUE06ZZZ,0.66249304709937,0.1212131165510062,293.0,17.35,7.8,1.783333333333335,-0.2666666666666666,141.756,48.0,15.752842271533348,0.5235065314035753,14.645,0.5106682281704841,1.0341747595740594,141.756,8.066666666666666,15.566666666666665,13.21,-1.435,winter,0.1,-2.435
