,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,year,day,date,tx,tm,tn,rad,et0,hourmin_tx,hourmin_tn,station,lat_in_rad,long_in_rad,alt_in_rad,hourmin_ocaso,hourmin_orto,hourmin_ocaso-hourmin_tx,hourmin_orto-hourmin_tn,energyt,n_val_temp,ra,vpd,deltat,ea,es,energyt_prev,hourmin_tn_prev,hourmin_tx_prev,tx_prev,tn_prev,season,preci,tdew
547648,552306,552306,552306,552306,2017,1,2017-01-01,15.55,12.54,8.16,6.895,1.1075560618300249,14.066666666666665,23.86666666666667,RIAG/MAG01ZZZ,0.6415200072545713,0.0791943148092427,55.0,17.116666666666667,7.583333333333332,3.0500000000000007,-16.283333333333335,301.07,48.0,15.841532695756497,0.4126773866754114,7.3900000000000015,1.0129188421319382,1.4255962288073496,301.07,23.86666666666667,14.066666666666665,15.55,8.16,winter,0.0,7.16
547787,552445,552445,552445,552445,2017,2,2017-01-02,16.08,11.6,7.36,9.63,0.8989985557868472,14.033333333333331,4.566666666666666,RIAG/MAG01ZZZ,0.6415200072545713,0.0791943148092427,55.0,17.133333333333333,7.583333333333332,3.1,3.0166666666666666,278.49,48.0,15.896526905933234,0.4685739775483175,8.719999999999999,0.9586731272236176,1.427247104771935,278.49,4.566666666666666,14.033333333333331,16.08,7.36,winter,0.0,6.36
547819,552477,552477,552477,552477,2017,3,2017-01-03,19.82,11.78,6.488,8.51,1.0181634934865953,16.233333333333334,7.333333333333332,RIAG/MAG01ZZZ,0.6415200072545713,0.0791943148092427,55.0,17.15,7.583333333333332,0.9166666666666644,0.25,282.6265,48.0,15.955912610124026,0.7372890488586079,13.332,0.9024759840654192,1.6397650329240268,282.6265,7.333333333333332,16.233333333333334,19.82,6.488,winter,0.0,5.488
548002,552660,552660,552660,552660,2017,4,2017-01-04,20.74,13.65,6.287999999999999,9.94,1.3539161511011375,14.6,5.533333333333332,RIAG/MAG01ZZZ,0.6415200072545713,0.0791943148092427,55.0,17.166666666666668,7.583333333333332,2.566666666666668,2.05,327.6195,48.0,16.019674023938705,0.8107371968579073,14.452,0.8900038487651294,1.7007410456230367,327.6195,5.533333333333332,14.6,20.74,6.287999999999999,winter,0.0,5.287999999999999
548094,552752,552752,552752,552752,2017,5,2017-01-05,21.14,14.84,8.43,11.24,1.7413538665473145,13.466666666666669,23.43333333333333,RIAG/MAG01ZZZ,0.6415200072545713,0.0791943148092427,55.0,17.183333333333334,7.583333333333332,3.716666666666667,-15.85,356.045,48.0,16.087793964312876,0.7747061539283789,12.71,1.0318272883184356,1.806533442246815,356.045,23.43333333333333,13.466666666666669,21.14,8.43,winter,0.0,7.43
548110,552768,552768,552768,552768,2017,6,2017-01-06,17.15,12.93,7.29,9.76,1.1688416745272736,12.933333333333335,1.6,RIAG/MAG01ZZZ,0.6415200072545713,0.0791943148092427,55.0,17.183333333333334,7.6,4.25,6.0,310.41,48.0,16.160253827538,0.5350544293422049,9.86,0.9540507449651436,1.4891051743073485,310.41,1.6,12.933333333333335,17.15,7.29,winter,0.0,6.29
548221,552879,552879,552879,552879,2017,7,2017-01-07,16.55,14.06,11.15,11.2,1.2801021500509464,13.966666666666669,23.966666666666665,RIAG/MAG01ZZZ,0.6415200072545713,0.0791943148092427,55.0,17.2,7.583333333333332,3.2333333333333325,-16.383333333333333,337.35,48.0,16.23703356668354,0.3641477744596602,5.4,1.2403602323705691,1.604508006830229,337.35,23.966666666666665,13.966666666666669,16.55,11.15,winter,0.0,10.15
548355,553013,553013,553013,553013,2017,8,2017-01-08,16.08,10.95,6.488,10.13,1.135978117318449,15.4,24.0,RIAG/MAG01ZZZ,0.6415200072545713,0.0791943148092427,55.0,17.216666666666665,7.583333333333332,1.8166666666666649,-16.416666666666668,262.722,48.0,16.318111668565805,0.4949116417155473,9.592,0.9024759840654192,1.3973876257809663,262.722,24.0,15.4,16.08,6.488,winter,0.0,5.488
548399,553057,553057,553057,553057,2017,9,2017-01-09,16.55,9.0,3.024,11.21,1.0370216122721885,13.8,4.9,RIAG/MAG01ZZZ,0.6415200072545713,0.0791943148092427,55.0,17.233333333333334,7.583333333333332,3.4333333333333336,2.6833333333333327,215.962,48.0,16.40346513042321,0.6142524793464194,13.526,0.7068543465069755,1.3211068258533951,215.962,4.9,13.8,16.55,3.024,winter,0.0,2.024
548551,553209,553209,553209,553209,2017,10,2017-01-10,17.49,11.45,3.153,6.274,1.8567301288402152,14.0,6.7,RIAG/MAG01ZZZ,0.6415200072545713,0.0791943148092427,55.0,17.25,7.583333333333332,3.25,0.8833333333333329,274.845,48.0,16.493069436461152,0.6689741577417987,14.336999999999998,0.7134053516220977,1.3823795093638964,274.845,6.7,14.0,17.49,3.153,winter,0.2,2.153
548609,553268,553268,553268,553268,2017,11,2017-01-11,21.74,14.65,10.29,11.09,2.4423606227538617,13.833333333333336,21.4,RIAG/MAG01ZZZ,0.6415200072545713,0.0791943148092427,55.0,17.266666666666666,7.583333333333332,3.433333333333332,-13.816666666666665,351.475,48.0,16.586898534432603,0.7564284770442244,11.45,1.1707470590373388,1.9271755360815632,351.475,21.4,13.833333333333336,21.74,10.29,winter,0.0,9.29
548749,553408,553408,553408,553408,2017,12,2017-01-12,19.27,11.88,5.4179999999999975,11.38,1.0334430802557606,15.733333333333333,7.133333333333334,RIAG/MAG01ZZZ,0.6415200072545713,0.0791943148092427,55.0,17.283333333333335,7.583333333333332,1.5500000000000025,0.4499999999999993,285.147,48.0,16.684924812422587,0.7288866268353916,13.852,0.8375005706872006,1.5663871975225925,285.147,7.133333333333334,15.733333333333333,19.27,5.4179999999999975,winter,0.0,4.4179999999999975
548859,553518,553518,553518,553518,2017,13,2017-01-13,17.15,13.29,8.29,11.62,1.7538201619821598,13.533333333333331,3.2666666666666666,RIAG/MAG01ZZZ,0.6415200072545713,0.0791943148092427,55.0,17.3,7.583333333333332,3.766666666666668,4.316666666666666,318.855,48.0,16.78711907600526,0.5031996644049785,8.86,1.0219844688570294,1.5251841332620082,318.855,3.2666666666666666,13.533333333333331,17.15,8.29,winter,0.0,7.289999999999999
548923,553582,553582,553582,553582,2017,14,2017-01-14,16.42,10.96,6.221,11.1,1.5404107683566963,13.6,6.266666666666668,RIAG/MAG01ZZZ,0.6415200072545713,0.0791943148092427,55.0,17.316666666666666,7.583333333333332,3.716666666666667,1.3166666666666664,263.124,48.0,16.893450525943166,0.5227183886268255,10.199000000000002,0.8858597981878149,1.4085781868146403,263.124,6.266666666666668,13.6,16.42,6.221,winter,0.0,5.221
548984,553643,553643,553643,553643,2017,15,2017-01-15,16.82,9.51,1.09,12.19,1.7120105836933317,14.133333333333333,6.9,RIAG/MAG01ZZZ,0.6415200072545713,0.0791943148092427,55.0,17.333333333333332,7.566666666666666,3.2,0.6666666666666661,228.251,48.0,17.003886736596662,0.6735490284292325,15.73,0.6148123054911472,1.2883613339203797,228.251,6.9,14.133333333333333,16.82,1.09,winter,0.0,0.09000000000000008
549145,553805,553805,553805,553805,2017,16,2017-01-16,18.42,11.6,3.024,12.17,2.046681013525527,15.433333333333335,7.8,RIAG/MAG01ZZZ,0.6415200072545713,0.0791943148092427,55.0,17.35,7.566666666666666,1.9166666666666683,-0.2333333333333334,278.3365,48.0,17.11839363521057,0.7322393959653452,15.396,0.7068543465069755,1.4390937424723207,278.3365,7.8,15.433333333333335,18.42,3.024,winter,0.0,2.024
549194,553855,553855,553855,553855,2017,17,2017-01-17,18.75,13.78,7.89,12.18,2.326701577540291,15.6,7.433333333333334,RIAG/MAG01ZZZ,0.6415200072545713,0.0791943148092427,55.0,17.35,7.566666666666666,1.7500000000000018,0.1333333333333328,330.655,48.0,17.236935482242398,0.6197399943402517,10.86,0.994316228594328,1.6140562229345798,330.655,7.433333333333334,15.6,18.75,7.89,winter,0.0,6.89
549258,553919,553919,553919,553919,2017,18,2017-01-18,10.43,6.398,2.549,3.132,1.3520497088654424,5.866666666666667,21.966666666666665,RIAG/MAG01ZZZ,0.6415200072545713,0.0791943148092427,55.0,17.366666666666667,7.55,11.5,-14.416666666666664,153.555,48.0,17.359474852893232,0.3156363315381901,7.881,0.6831880614493876,0.9988243929875776,153.555,21.966666666666665,5.866666666666667,10.43,2.549,winter,0.6,1.549
549389,554051,554051,554051,554051,2017,19,2017-01-19,9.68,6.6110000000000015,3.218,4.783,1.1943072518604076,15.666666666666664,8.133333333333333,RIAG/MAG01ZZZ,0.6415200072545713,0.0791943148092427,55.0,17.383333333333333,7.55,1.7166666666666668,-0.583333333333333,158.6815,48.0,17.485972619998833,0.2689977934767253,6.462000000000001,0.7167265154630881,0.9857243089398132,158.6815,8.133333333333333,15.666666666666664,9.68,3.218,winter,5.2,2.218
549479,554141,554141,554141,554141,2017,20,2017-01-20,13.21,7.67,2.088,10.7,1.0168593252012903,15.466666666666669,7.733333333333332,RIAG/MAG01ZZZ,0.6415200072545713,0.0791943148092427,55.0,17.4,7.55,1.933333333333332,-0.1833333333333336,184.1975,48.0,17.616387938433235,0.4533924452041767,11.122,0.6608914782147493,1.114283923418926,184.1975,7.733333333333332,15.466666666666669,13.21,2.088,winter,0.8,1.088
549603,554265,554265,554265,554265,2017,21,2017-01-21,14.41,9.06,1.82,12.55,1.390805666112071,15.533333333333331,6.433333333333334,RIAG/MAG01ZZZ,0.6415200072545713,0.0791943148092427,55.0,17.433333333333334,7.533333333333332,1.9000000000000004,1.0999999999999996,217.3475,48.0,17.750678231172625,0.5208933032421703,12.59,0.6482272104389564,1.169120513681127,217.3475,6.433333333333334,15.533333333333331,14.41,1.82,winter,0.0,0.8200000000000001
549672,554334,554334,554334,554334,2017,22,2017-01-22,16.82,11.91,6.9570000000000025,12.78,2.111036106271184,15.1,5.366666666666666,RIAG/MAG01ZZZ,0.6415200072545713,0.0791943148092427,55.0,17.45,7.533333333333332,2.35,2.166666666666667,285.805,48.0,17.88879917716057,0.5249907389166463,9.863,0.9323292605803968,1.4573199994970432,285.805,5.366666666666666,15.1,16.82,6.9570000000000025,winter,0.0,5.9570000000000025
